dim_transportadora,dim_cliente,dim_fornecedor,dim_produto,dim_tempo,faturamento,quantidade_vendida,imposto,custo_variavel
1,37,1,7,20230115,150.50,5,10.00,20.50
2,21,4,15,20230120,75.25,2,5.50,10.00
3,44,1,30,20230125,200.00,8,15.00,25.00
4,28,5,4,20230131,120.75,4,8.00,15.75
5,54,3,10,20230205,90.50,3,6.50,12.00
6,10,2,23,20230210,180.00,6,12.00,20.00
7,4,1,18,20230215,250.00,10,20.00,35.00
8,40,4,6,20230220,100.25,3,6.00,10.50
9,22,3,14,20230225,50.50,2,4.50,8.00
10,48,5,22,20230228,70.75,4,7.50,12.50
3,18,1,23,20230101,150.50,5,10.00,20.50
2,45,4,12,20230102,75.25,2,5.50,10.00
5,12,3,8,20230103,200.00,8,15.00,25.00
1,32,2,5,20230104,120.75,4,8.00,15.75
7,21,5,15,20230105,90.50,3,6.50,12.00
4,51,1,10,20230106,180.00,6,12.00,20.00
6,38,4,27,20230107,250.00,10,20.00,35.00
8,7,3,4,20230108,100.25,3,6.00,10.50
10,16,2,18,20230109,50.50,2,4.50,8.00
9,24,5,9,20230110,70.75,4,7.50,12.50
1,19,1,13,20230111,120.00,5,10.00,18.50
3,33,3,6,20230113,150.25,5,10.50,19.00
4,11,2,1,20230114,200.00,8,15.50,27.00
5,48,1,20,20230115,90.75,3,6.50,11.75
6,25,5,30,20230116,100.50,4,8.50,15.00
7,9,4,14,20230117,80.25,3,6.00,9.50
8,40,3,25,20230118,120.00,5,10.00,16.50
9,31,2,3,20230119,70.50,2,5.00,8.50
10,5,1,26,20230120,250.00,10,20.00,30.00
1,26,1,23,20230121,150.50,5,10.00,20.50
2,42,4,16,20230122,75.25,2,5.50,10.00
3,4,3,22,20230123,200.00,8,15.00,25.00
4,37,5,1,20230124,120.75,4,8.00,15.75
5,49,1,18,20230125,90.50,3,6.50,12.00
6,14,2,27,20230126,180.00,6,12.00,20.00
7,35,1,16,20230127,250.00,10,20.00,35.00
8,6,4,3,20230128,100.25,3,6.00,10.50
9,27,3,25,20230129,50.50,2,4.50,8.00
10,17,5,9,20230130,70.75,4,7.50,12.50
1,20,1,13,20230131,120.00,5,10.00,18.50
2,52,4,8,20230201,180.50,6,12.50,22.00
3,34,3,2,20230202,150.25,5,10.50,19.00
4,8,2,6,20230203,200.00,8,15.50,27.00
5,50,1,28,20230204,90.75,3,6.50,11.75
6,10,5,11,20230205,100.50,4,8.50,15.00
7,22,1,21,20230206,80.25,3,6.00,9.50
8,46,3,4,20230207,120.00,5,10.00,16.50
9,30,4,10,20230208,70.50,2,5.00,8.50
10,15,2,26,20230209,250.00,10,20.00,30.00
1,36,1,7,20230210,150.50,5,10.00,20.50
2,29,4,15,20230211,75.25,2,5.50,10.00
3,43,1,30,20230212,200.00,8,15.00,25.00
4,28,5,4,20230213,120.75,4,8.00,15.75
5,54,3,10,20230214,90.50,3,6.50,12.00
6,13,2,23,20230215,180.00,6,12.00,20.00
7,39,1,18,20230216,250.00,10,20.00,35.00
8,3,4,6,20230217,100.25,3,6.00,10.50
9,23,3,14,20230218,50.50,2,4.50,8.00
10,7,5,22,20230219,70.75,4,7.50,12.50
5,25,2,10,20230101,150.50,5,10.00,20.50
2,12,4,22,20230102,75.25,2,5.50,10.00
3,38,1,5,20230103,200.00,8,15.00,25.00
1,17,5,30,20230104,120.75,4,8.00,15.75
7,42,3,15,20230105,90.50,3,6.50,12.00
6,19,1,4,20230107,250.00,10,20.00,35.00
8,29,4,11,20230108,100.25,3,6.00,10.50
10,5,3,20,20230109,50.50,2,4.50,8.00
9,47,5,6,20230110,70.75,4,7.50,12.50
1,33,2,3,20230111,120.00,5,10.00,18.50
2,14,1,9,20230112,180.50,6,12.50,22.00
3,44,4,26,20230113,150.25,5,10.50,19.00
4,21,3,14,20230114,200.00,8,15.50,27.00
5,51,2,1,20230115,90.75,3,6.50,11.75
6,28,1,8,20230116,100.50,4,8.50,15.00
7,10,5,24,20230117,80.25,3,6.00,9.50
8,37,4,7,20230118,120.00,5,10.00,16.50
9,30,3,25,20230119,70.50,2,5.00,8.50
10,6,2,12,20230120,250.00,10,20.00,30.00
1,27,1,19,20230121,150.50,5,10.00,20.50
2,41,4,23,20230122,75.25,2,5.50,10.00
3,45,1,28,20230123,200.00,8,15.00,25.00
4,18,5,11,20230124,120.75,4,8.00,15.75
5,52,3,2,20230125,90.50,3,6.50,12.00
6,16,2,10,20230126,180.00,6,12.00,20.00
7,34,1,16,20230127,250.00,10,20.00,35.00
8,9,4,6,20230128,100.25,3,6.00,10.50
9,31,3,21,20230129,50.50,2,4.50,8.00
10,13,5,18,20230130,70.75,4,7.50,12.50
1,26,1,17,20230131,120.00,5,10.00,18.50
2,54,4,25,20230201,180.50,6,12.50,22.00
3,35,3,13,20230202,150.25,5,10.50,19.00
4,8,2,29,20230203,200.00,8,15.50,27.00
5,48,1,3,20230204,90.75,3,6.50,11.75
6,11,5,7,20230205,100.50,4,8.50,15.00
7,32,1,4,20230206,80.25,3,6.00,9.50
8,46,3,16,20230207,120.00,5,10.00,16.50
9,23,4,24,20230208,70.50,2,5.00,8.50
10,7,2,14,20230209,250.00,10,20.00,30.00
1,36,1,6,20230210,150.50,5,10.00,20.50
2,22,4,2,20230211,75.25,2,5.50,10.00
3,43,1,30,20230212,200.00,8,15.00,25.00
4,28,5,5,20230213,120.75,4,8.00,15.75
5,55,3,15,20230214,90.50,3,6.50,12.00
6,15,2,27,20230215,180.00,6,12.00,20.00
7,39,1,10,20230216,250.00,10,20.00,35.00
8,4,4,1,20230217,100.25,3,6.00,10.50
9,24,3,12,20230218,50.50,2,4.50,8.00
10,3,5,26,20230219,70.75,4,7.50,12.50
1,25,4,10,20230101,150.50,5,12.00,20.50
2,10,2,22,20230102,75.25,2,5.75,10.00
3,38,1,5,20230103,200.00,8,15.00,25.00
4,17,5,30,20230104,120.75,4,8.50,15.75
5,42,3,15,20230105,90.50,3,6.25,12.00
7,19,1,4,20230107,250.00,10,20.00,35.00
8,29,4,11,20230108,100.25,3,6.75,10.50
9,5,3,20,20230109,50.50,2,4.50,8.00
10,47,5,6,20230110,70.75,4,7.75,12.50
1,33,2,3,20230111,120.00,5,10.50,18.50
2,14,1,9,20230112,180.50,6,12.75,22.00
3,44,4,26,20230113,150.25,5,10.75,19.00
4,21,3,14,20230114,200.00,8,15.75,27.00
5,51,2,1,20230115,90.75,3,6.25,11.75
6,28,1,8,20230116,100.50,4,8.75,15.00
7,9,5,24,20230117,80.25,3,6.00,9.50
8,37,4,7,20230118,120.00,5,10.00,16.50
9,30,3,25,20230119,70.50,2,5.25,8.50
10,6,2,12,20230120,250.00,10,20.25,30.00
1,27,1,19,20230121,150.50,5,11.50,20.50
2,41,4,23,20230122,75.25,2,5.25,10.00
3,45,1,28,20230123,200.00,8,15.00,25.00
4,18,5,11,20230124,120.75,4,8.00,15.75
5,52,3,2,20230125,90.50,3,6.00,12.00
6,16,2,10,20230126,180.00,6,12.25,20.00
7,34,1,16,20230127,250.00,10,20.50,35.00
8,10,4,6,20230128,100.25,3,6.25,10.50
9,31,3,21,20230129,50.50,2,4.50,8.00
10,13,5,18,20230130,70.75,4,7.25,12.50
1,26,1,17,20230131,120.00,5,10.00,18.50
2,54,4,25,20230201,180.50,6,12.25,22.00
3,35,3,13,20230202,150.25,5,10.25,19.00
4,8,2,29,20230203,200.00,8,15.75,27.00
5,48,1,3,20230204,90.75,3,6.50,11.75
6,11,5,7,20230205,100.50,4,8.75,15.00
7,32,1,4,20230206,80.25,3,6.25,9.50
8,46,3,16,20230207,120.00,5,10.25,16.50
9,23,4,24,20230208,70.50,2,5.50,8.50
10,7,2,14,20230209,250.00,10,20.75,30.00
1,36,1,6,20230210,150.50,5,10.00,20.50
2,22,4,2,20230211,75.25,2,5.75,10.00
3,43,1,30,20230212,200.00,8,15.00,25.00
4,28,5,5,20230213,120.75,4,8.00,15.75
5,55,3,15,20230214,90.50,3,6.25,12.00
6,15,2,27,20230215,180.00,6,12.75,20.00
7,39,1,10,20230216,250.00,10,20.00,35.00
8,4,4,1,20230217,100.25,3,6.75,10.50
9,24,3,12,20230218,50.50,2,4.75,8.00
10,3,5,26,20230219,70.75,4,7.75,12.50
