dim_transportadora,dim_cliente,dim_fornecedor,dim_produto,dim_tempo,faturamento,quantidade_vendida,imposto,custo_variavel
7,24,5,12,20230216,250.00,10,20.00,35.00
3,5,3,37,20230217,100.25,3,6.00,10.50
6,19,2,6,20230218,50.50,2,4.50,8.00
2,2,1,22,20230219,70.75,4,7.50,12.50
10,14,4,11,20230220,120.00,5,10.00,18.50
5,31,3,40,20230221,180.50,6,12.50,22.00
4,47,1,4,20230222,150.25,5,10.50,19.00
2,24,5,12,20230223,200.00,8,15.50,27.00
1,5,3,37,20230224,90.75,3,6.50,11.75
3,19,2,6,20230225,100.50,4,8.50,15.00
3,12,3,25,20230101,150.00,5,10.00,20.00
5,29,1,14,20230102,80.50,3,5.50,10.00
2,7,5,39,20230103,200.00,8,15.00,25.00
1,21,2,6,20230104,120.75,4,8.00,15.75
4,38,4,23,20230105,90.50,3,6.50,12.00
7,9,3,2,20230106,180.00,6,12.00,20.00
6,25,1,33,20230107,250.00,10,20.00,35.00
3,40,5,10,20230108,100.25,3,6.00,10.50
1,6,2,18,20230109,50.50,2,4.50,8.00
4,15,4,7,20230110,70.75,4,7.50,12.50
2,31,3,26,20230111,120.00,5,10.00,18.50
1,47,1,4,20230112,180.50,6,12.50,22.00
5,24,5,12,20230113,150.25,5,10.50,19.00
3,5,3,37,20230114,200.00,8,15.50,27.00
2,19,2,6,20230115,90.75,3,6.50,11.75
1,2,1,22,20230116,100.50,4,8.50,15.00
6,13,4,11,20230117,80.25,3,6.00,9.50
4,30,3,40,20230118,120.00,5,10.00,16.50
5,46,5,3,20230119,70.50,2,5.00,8.50
2,16,2,19,20230120,250.00,10,20.00,30.00
4,4,1,8,20230121,150.50,5,10.00,20.50
1,39,4,35,20230122,75.25,2,5.50,10.00
3,8,3,15,20230123,200.00,8,15.00,25.00
5,22,5,2,20230124,120.75,4,8.00,15.75
2,37,3,23,20230125,90.50,3,6.50,12.00
1,10,2,32,20230126,180.00,6,12.00,20.00
4,26,1,41,20230127,250.00,10,20.00,35.00
3,41,4,10,20230128,100.25,3,6.00,10.50
2,8,3,18,20230129,50.50,2,4.50,8.00
1,17,1,7,20230130,70.75,4,7.50,12.50
5,33,5,26,20230131,120.00,5,10.00,18.50
2,49,2,4,20230201,180.50,6,12.50,22.00
4,25,4,12,20230202,150.25,5,10.50,19.00
1,7,1,37,20230203,200.00,8,15.50,27.00
3,21,3,6,20230204,90.75,3,6.50,11.75
6,3,2,22,20230205,100.50,4,8.50,15.00
1,14,1,11,20230206,80.25,3,6.00,9.50
5,31,3,40,20230207,120.00,5,10.00,16.50
4,47,1,4,20230208,70.50,2,5.00,8.50
2,24,5,12,20230209,250.00,10,20.00,30.00
3,5,3,37,20230210,150.50,5,10.00,20.50
7,12,3,25,20230101,150.00,5,10.00,20.00
4,29,1,14,20230102,80.50,3,5.50,10.00
2,6,1,39,20230103,200.00,8,15.00,25.00
5,20,5,6,20230104,120.75,4,8.00,15.75
1,37,3,23,20230105,90.50,3,6.50,12.00
3,12,2,2,20230106,180.00,6,12.00,20.00
6,28,1,33,20230107,250.00,10,20.00,35.00
8,42,4,10,20230108,100.25,3,6.00,10.50
9,8,3,18,20230109,50.50,2,4.50,8.00
1,17,1,7,20230110,70.75,4,7.50,12.50
10,33,5,26,20230111,120.00,5,10.00,18.50
5,49,2,4,20230112,180.50,6,12.50,22.00
4,25,4,12,20230113,150.25,5,10.50,19.00
2,7,1,37,20230114,200.00,8,15.50,27.00
3,21,3,6,20230115,90.75,3,6.50,11.75
1,3,2,22,20230116,100.50,4,8.50,15.00
6,14,1,11,20230117,80.25,3,6.00,9.50
5,31,5,40,20230118,120.00,5,10.00,16.50
7,48,4,3,20230119,70.50,2,5.00,8.50
3,16,3,19,20230120,250.00,10,20.00,30.00
2,5,2,8,20230121,150.50,5,10.00,20.50
1,40,1,35,20230122,75.25,2,5.50,10.00
4,9,3,15,20230123,200.00,8,15.00,25.00
5,23,5,2,20230124,120.75,4,8.00,15.75
3,38,3,23,20230125,90.50,3,6.50,12.00
7,11,2,32,20230126,180.00,6,12.00,20.00
6,26,1,41,20230127,250.00,10,20.00,35.00
2,41,4,10,20230128,100.25,3,6.00,10.50
3,8,3,18,20230129,50.50,2,4.50,8.00
1,17,1,7,20230130,70.75,4,7.50,12.50
5,33,5,26,20230131,120.00,5,10.00,18.50
4,49,2,4,20230201,180.50,6,12.50,22.00
2,25,4,12,20230202,150.25,5,10.50,19.00
1,7,1,37,20230203,200.00,8,15.50,27.00
3,21,3,6,20230204,90.75,3,6.50,11.75
6,3,2,22,20230205,100.50,4,8.50,15.00
1,14,1,11,20230206,80.25,3,6.00,9.50
5,31,5,40,20230207,120.00,5,10.00,16.50
4,47,4,3,20230208,70.50,2,5.00,8.50
3,16,3,19,20230209,250.00,10,20.00,30.00
2,5,2,8,20230210,150.50,5,10.00,20.50
1,40,1,35,20230211,75.25,2,5.50,10.00
5,9,3,15,20230212,200.00,8,15.00,25.00
4,23,5,2,20230213,120.75,4,8.00,15.75
2,38,3,23,20230214,90.50,3,6.50,12.00
6,11,2,32,20230215,180.00,6,12.00,20.00
3,26,1,41,20230216,250.00,10,20.00,35.00
1,41,4,10,20230217,100.25,3,6.00,10.50
5,8,3,18,20230218,50.50,2,4.50,8.00
1,17,1,7,20230219,70.75,4,7.50,12.50
4,33,5,26,20230220,120.00,5,10.00,18.50
2,49,2,4,20230221,180.50,6,12.50,22.00
3,25,4,12,20230222,150.25,5,10.50,19.00
6,7,1,37,20230223,200.00,8,15.50,27.00
1,21,3,6,20230224,90.75,3,6.50,11.75
4,3,2,22,20230225,100.50,4,8.50,15.00
3,12,3,25,20230101,150.00,5,10.00,20.00
5,29,1,14,20230102,80.50,3,5.50,10.00
2,6,1,39,20230103,200.00,8,15.00,25.00
4,20,5,6,20230104,120.75,4,8.00,15.75
1,37,3,23,20230105,90.50,3,6.50,12.00
3,12,2,2,20230106,180.00,6,12.00,20.00
6,28,1,33,20230107,250.00,10,20.00,35.00
8,42,4,10,20230108,100.25,3,6.00,10.50
9,8,3,18,20230109,50.50,2,4.50,8.00
1,17,1,7,20230110,70.75,4,7.50,12.50
10,33,5,26,20230111,120.00,5,10.00,18.50
5,49,2,4,20230112,180.50,6,12.50,22.00
4,25,4,12,20230113,150.25,5,10.50,19.00
2,7,1,37,20230114,200.00,8,15.50,27.00
3,21,3,6,20230115,90.75,3,6.50,11.75
1,3,2,22,20230116,100.50,4,8.50,15.00
6,14,1,11,20230117,80.25,3,6.00,9.50
5,31,5,40,20230118,120.00,5,10.00,16.50
7,48,4,3,20230119,70.50,2,5.00,8.50
3,16,3,19,20230120,250.00,10,20.00,30.00
2,5,2,8,20230121,150.50,5,10.00,20.50
1,40,1,35,20230122,75.25,2,5.50,10.00
4,9,3,15,20230123,200.00,8,15.00,25.00
5,23,5,2,20230124,120.75,4,8.00,15.75
3,38,3,23,20230125,90.50,3,6.50,12.00
7,11,2,32,20230126,180.00,6,12.00,20.00
6,26,1,41,20230127,250.00,10,20.00,35.00
2,41,4,10,20230128,100.25,3,6.00,10.50
3,8,3,18,20230129,50.50,2,4.50,8.00
1,17,1,7,20230130,70.75,4,7.50,12.50
5,33,5,26,20230131,120.00,5,10.00,18.50
4,49,2,4,20230201,180.50,6,12.50,22.00
2,25,4,12,20230202,150.25,5,10.50,19.00
1,7,1,37,20230203,200.00,8,15.50,27.00
3,21,3,6,20230204,90.75,3,6.50,11.75
6,3,2,22,20230205,100.50,4,8.50,15.00
1,14,1,11,20230206,80.25,3,6.00,9.50
5,31,5,40,20230207,120.00,5,10.00,16.50
4,47,4,3,20230208,70.50,2,5.00,8.50
3,16,3,19,20230209,250.00,10,20.00,30.00
2,5,2,8,20230210,150.50,5,10.00,20.50
1,40,1,35,20230211,75.25,2,5.50,10.00
5,9,3,15,20230212,200.00,8,15.00,25.00
4,23,5,2,20230213,120.75,4,8.00,15.75
2,38,3,23,20230214,90.50,3,6.50,12.00
6,11,2,32,20230215,180.00,6,12.00,20.00
3,26,1,41,20230216,250.00,10,20.00,35.00
1,41,4,10,20230217,100.25,3,6.00,10.50
5,8,3,18,20230218,50.50,2,4.50,8.00
1,17,1,7,20230219,70.75,4,7.50,12.50
4,33,5,26,20230220,120.00,5,10.00,18.50
2,49,2,4,20230221,180.50,6,12.50,22.00
3,25,4,12,20230222,150.25,5,10.50,19.00
6,7,1,37,20230223,200.00,8,15.50,27.00
1,21,3,6,20230224,90.75,3,6.50,11.75
4,3,2,22,20230225,100.50,4,8.50,15.00
2,25,4,15,20230301,120.50,3,10.00,20.00
8,12,2,2,20230302,80.25,2,5.50,12.00
5,40,1,8,20230303,200.00,5,15.00,30.00
1,32,3,31,20230304,120.75,4,8.00,18.75
6,19,5,6,20230305,90.50,3,6.50,10.00
3,46,3,22,20230306,180.00,6,12.00,25.00
7,9,4,41,20230307,250.00,8,20.00,40.00
4,52,2,12,20230308,100.25,3,6.00,15.00
10,16,1,25,20230309,50.50,2,4.50,8.50
9,36,5,36,20230310,70.75,3,7.50,13.00
5,21,4,17,20230311,120.00,4,10.00,18.00
2,43,2,4,20230312,180.50,6,12.50,22.50
8,11,1,9,20230313,150.25,5,10.50,20.00
6,30,3,14,20230314,200.00,8,15.50,28.00
1,5,5,32,20230315,90.75,3,6.50,10.50
3,48,3,19,20230316,100.50,4,8.50,15.00
7,18,4,37,20230317,80.25,3,6.00,12.50
4,33,5,1,20230318,120.00,5,10.00,20.00
9,51,2,7,20230319,70.50,2,5.00,8.00
10,14,1,35,20230320,250.00,10,20.00,40.00
2,39,4,23,20230321,150.50,5,10.00,22.50
5,56,2,10,20230322,75.25,2,5.50,10.50
8,6,1,3,20230323,200.00,8,15.00,30.00
1,28,3,27,20230324,120.75,4,8.00,18.75
3,44,5,16,20230325,90.50,3,6.50,10.00
6,20,3,45,20230326,180.00,6,12.00,25.00
7,8,4,33,20230327,250.00,8,20.00,40.00
4,24,2,5,20230328,100.25,3,6.00,15.00
10,13,1,11,20230329,50.50,2,4.50,8.50
9,37,5,29,20230330,70.75,3,7.50,13.00
2,25,4,15,20230301,120.50,3,10.00,20.00
8,12,2,2,20230302,80.25,2,5.50,12.00
5,40,1,8,20230303,200.00,5,15.00,30.00
1,32,3,31,20230304,120.75,4,8.00,18.75
6,19,5,6,20230305,90.50,3,6.50,10.00
3,46,3,22,20230306,180.00,6,12.00,25.00
7,9,4,41,20230307,250.00,8,20.00,40.00
4,52,2,12,20230308,100.25,3,6.00,15.00
10,16,1,25,20230309,50.50,2,4.50,8.50
9,36,5,36,20230310,70.75,3,7.50,13.00
4,103,2,29,20230301,152.50,3,10.10,30.20
9,92,1,14,20230302,85.20,2,5.70,20.80
7,62,3,35,20230303,196.80,4,12.80,43.50
2,91,5,19,20230304,132.40,3,8.70,29.60
8,74,1,6,20230305,68.90,1,4.30,16.40
5,108,4,41,20230306,225.60,5,14.50,50.40
1,67,2,9,20230307,92.10,2,5.90,22.10
3,112,3,32,20230308,178.30,4,11.70,38.90
6,79,1,22,20230309,117.50,3,7.60,26.40
10,88,5,45,20230310,264.20,6,16.80,69.30
4,62,4,4,20230311,58.40,1,3.90,14.20
9,116,2,39,20230312,198.10,4,12.90,43.20
7,95,3,15,20230313,145.80,3,9.60,29.30
2,78,1,42,20230314,105.30,2,6.90,23.80
8,111,4,26,20230315,172.60,4,11.30,36.60
5,82,2,11,20230316,76.70,1,5.10,18.50
3,106,3,23,20230317,132.90,3,8.60,29.90
6,83,5,1,20230318,48.20,1,3.20,12.60
10,69,1,36,20230319,214.50,5,13.80,52.10
4,105,2,5,20230320,71.80,1,4.80,17.50
9,90,4,28,20230321,183.70,4,12.00,40.50
7,120,3,43,20230322,242.60,6,15.70,63.20
2,73,1,20,20230323,123.40,3,8.10,27.60
8,62,4,7,20230324,64.90,1,4.20,15.90
5,113,2,30,20230325,156.20,3,10.20,32.40
3,68,3,13,20230326,89.10,2,5.80,21.50
6,102,1,40,20230327,203.50,5,13.20,47.30
10,97,4,18,20230328,138.90,3,9.10,29.70
4,75,2,33,20230329,189.70,4,12.30,41.20
9,117,3,21,20230330,125.80,2,8.20,26.80
7,85,1,46,20230331,268.40,6,17.10,70.20
2,64,5,10,20230301,76.50,1,5.00,17.80
8,118,2,37,20230302,207.20,5,13.40,48.10
5,89,4,3,20230303,51.60,1,3.40,13.40
3,72,1,44,20230304,234.80,6,15.20,62.50
6,107,3,27,20230305,168.90,4,11.00,36.20
10,80,2,16,20230306,98.40,2,6.40,23.70
4,96,1,31,20230307,143.70,3,9.40,29.00
9,63,4,8,20230308,60.80,1,4.00,15.10
7,109,3,25,20230309,175.30,4,11.40,37.70
2,86,1,2,20230310,44.90,1,2.90,11.80
8,77,5,34,20230311,193.60,5,12.60,45.80
8,108,4,26,20230301,152.80,3,10.10,30.40
2,73,2,15,20230302,84.60,2,5.70,19.60
9,117,3,9,20230303,197.40,5,15.80,43.00
5,88,1,40,20230304,135.80,3,10.70,29.50
4,58,2,22,20230305,97.60,2,7.70,21.10
3,122,5,36,20230306,223.50,5,14.60,49.30
7,75,1,13,20230307,90.40,2,5.80,20.70
6,98,4,32,20230308,175.20,4,11.60,38.00
10,65,3,6,20230309,115.80,3,7.50,26.30
1,109,1,45,20230310,262.60,6,16.70,68.90
8,84,5,2,20230311,58.20,1,3.90,14.10
2,116,2,29,20230312,197.90,4,12.80,42.90
9,95,3,5,20230313,145.20,3,9.60,29.20
5,61,1,42,20230314,104.70,2,6.90,23.70
4,113,4,26,20230315,171.90,4,11.20,36.30
3,78,2,11,20230316,75.90,1,5.00,18.40
6,103,3,23,20230317,130.70,3,8.50,29.60
10,81,1,1,20230318,46.80,1,3.10,12.30
8,107,5,38,20230319,212.40,5,13.70,50.50
2,77,2,5,20230320,70.60,1,4.70,17.20
9,119,4,28,20230321,181.50,4,11.90,40.20
5,100,1,43,20230322,240.30,6,15.60,62.80
4,74,2,21,20230323,121.90,3,8.00,27.90
3,58,4,7,20230324,63.60,1,4.10,15.80
6,124,2,30,20230325,155.90,3,10.20,32.10
10,80,3,13,20230326,88.60,2,5.80,21.40
8,105,1,39,20230327,201.80,5,13.10,47.40
2,69,4,18,20230328,137.50,3,9.00,29.80
9,111,3,33,20230329,188.60,4,12.20,41.70
5,86,2,20,20230330,123.10,2,8.10,27.10
4,62,1,34,20230331,266.30,6,17.00,69.40
8,121,2,4,20230301,75.90,1,5.00,17.60
2,76,5,37,20230302,205.90,5,13.30,47.90
9,89,4,3,20230303,50.70,1,3.30,13.10
5,70,1,28,20230304,230.80,6,14.90,61.70
4,112,2,27,20230305,167.50,4,10.90,35.70
3,87,3,16,20230306,98.10,2,6.40,23.20
8,115,4,28,20230301,159.20,3,10.40,31.50
2,87,2,13,20230302,89.70,2,5.90,21.30
9,118,3,32,20230303,202.60,5,15.90,44.10
5,64,1,8,20230304,133.80,3,10.80,30.90
4,122,2,40,20230305,102.40,2,6.70,19.50
3,101,5,33,20230306,216.30,5,13.80,49.70
7,72,1,5,20230307,96.80,2,6.40,24.60
6,116,4,41,20230308,184.50,4,11.90,39.40
10,91,3,18,20230309,119.60,3,7.80,28.20
1,63,1,3,20230310,258.30,6,16.70,72.50
8,103,5,37,20230311,64.50,1,4.30,13.80
2,75,2,25,20230312,195.90,4,12.70,41.10
9,111,3,10,20230313,138.10,3,9.00,28.90
5,79,1,30,20230314,110.70,2,7.20,22.10
4,92,4,19,20230315,177.40,4,11.50,36.80
3,66,2,1,20230316,82.60,1,5.40,16.50
6,117,3,23,20230317,139.30,3,9.10,27.60
10,84,1,38,20230318,54.20,1,3.60,12.40
1,65,5,14,20230319,219.60,5,14.10,51.80
8,112,2,46,20230320,71.90,1,4.70,15.30
2,78,4,2,20230321,192.80,5,12.50,43.90
9,120,3,31,20230322,163.50,4,10.60,34.80
5,68,1,11,20230323,99.10,2,6.50,20.80
4,107,2,27,20230324,78.80,1,5.10,17.70
3,74,4,42,20230325,126.30,3,8.20,25.60
6,105,3,4,20230326,231.90,6,14.90,54.40
10,80,1,34,20230327,155.80,3,10.20,32.20
1,94,4,7,20230328,178.10,4,11.60,37.10
8,61,2,21,20230329,117.90,3,7.70,26.80
2,114,3,36,20230330,197.70,4,12.90,42.30
9,82,1,9,20230331,243.20,6,15.60,58.10
7,61,2,45,20230301,62.80,1,4.10,14.40
6,114,5,39,20230302,203.10,5,13.10,46.20
10,67,3,16,20230303,49.60,1,3.30,11.70
1,90,1,2,20230304,237.80,6,15.40,56.90
8,79,2,26,20230305,170.40,4,11.10,34.60
2,106,4,12,20230306,89.30,2,5.80,20.30
9,85,3,29,20230307,150.70,3,9.80,29.10
8,64,3,12,20230201,128.50,2,8.20,24.60
3,89,1,27,20230202,105.70,3,6.80,19.50
6,112,5,4,20230203,219.80,4,14.10,41.30
4,76,2,23,20230204,164.20,3,10.60,32.80
5,97,4,30,20230205,82.40,2,5.30,15.90
1,107,3,1,20230206,201.60,4,13.00,37.90
2,65,1,16,20230207,97.80,2,6.30,18.40
9,113,5,38,20230208,178.20,3,11.50,34.60
7,78,2,11,20230209,115.50,2,7.40,22.70
10,105,4,29,20230210,243.70,5,15.70,46.60
3,80,1,8,20230211,68.90,1,4.40,13.30
6,119,3,44,20230212,194.60,4,12.60,39.20
4,93,5,21,20230213,136.30,3,8.80,26.90
5,69,2,3,20230214,91.20,2,5.90,17.40
1,104,4,37,20230215,167.80,3,10.80,31.80
2,82,1,14,20230216,78.10,1,5.00,15.00
9,116,3,33,20230217,142.90,3,9.20,22.10
7,73,2,7,20230218,212.50,5,13.70,38.70
10,100,4,25,20230219,126.40,2,8.20,24.30
3,74,1,42,20230220,178.60,3,11.50,34.50
6,115,5,6,20230221,96.70,2,6.20,18.80
4,90,2,24,20230222,72.90,1,4.70,13.90
5,106,3,41,20230223,155.80,3,10.10,29.40
1,75,1,10,20230224,212.30,5,13.70,39.10
2,111,5,27,20230225,139.20,3,9.00,22.70
8,60,3,14,20230201,122.40,2,7.90,23.70
3,87,1,29,20230202,110.10,3,7.10,20.60
6,109,5,3,20230203,196.20,4,12.70,37.50
4,84,2,12,20230204,168.40,3,10.90,33.20
5,102,4,35,20230205,93.80,2,6.10,17.70
1,75,3,2,20230206,217.50,4,14.00,41.20
2,108,1,17,20230207,101.90,2,6.60,19.10
9,112,5,36,20230208,189.60,3,12.30,36.50
7,83,2,7,20230209,124.50,2,8.00,24.50
10,103,4,25,20230210,238.90,5,15.40,45.80
3,65,1,16,20230211,69.70,1,4.50,13.70
6,120,3,38,20230212,201.10,4,13.00,38.10
4,94,5,20,20230213,134.30,3,8.70,26.40
5,71,2,4,20230214,98.60,2,6.40,18.70
1,98,4,34,20230215,174.50,3,11.30,32.50
2,85,1,13,20230216,79.80,1,5.20,15.50
9,117,3,32,20230217,146.70,3,9.50,23.20
7,77,2,10,20230218,219.20,5,14.10,39.80
